"AGE","MALE","IN_LABOR_FORCE","HSTOCKS","MARRIED","AGE_18_34","AGE_35_44","AGE_45_54","AGE_55_64","AGE_64_75","AGE_75_plus","RACE_white_non_hispanic","RACE_black_african_american","RACE_hispanic","RACE_other","LTHRIFT","LIRAKH","LINCOME","KNOWL","FINLIT","KNOWL_FINLIT","EDCL_no_HS","EDCL_HS_GED","EDCL_some_college","EDCL_college_degree"
60,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.5690791835166,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.5964781577138,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.5964781577138,0,0,0,0,0,0,1
43,1,1,1,1,0,1,0,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,13.4152797231055,1,1,1,0,0,0,1
43,1,1,1,1,0,1,0,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,13.4152797231055,1,1,1,0,0,0,1
43,1,1,1,1,0,1,0,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,13.4152797231055,1,1,1,0,0,0,1
43,1,1,1,1,0,1,0,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,13.4152797231055,1,1,1,0,0,0,1
43,1,1,1,1,0,1,0,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,13.4152797231055,1,1,1,0,0,0,1
67,1,1,0,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.6744396991848,0,0,0,0,0,0,1
67,1,1,0,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.6744396991848,0,0,0,0,0,0,1
67,1,1,0,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.6744396991848,0,0,0,0,0,0,1
67,1,1,0,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.6744396991848,0,0,0,0,0,0,1
67,1,1,0,1,0,0,0,0,1,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.6744396991848,0,0,0,0,0,0,1
46,1,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,12.2636749042758,1,1,1,0,0,0,1
46,1,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,12.2636749042758,1,1,1,0,0,0,1
46,1,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,12.2636749042758,1,1,1,0,0,0,1
46,1,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,12.2636749042758,1,1,1,0,0,0,1
46,1,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,12.2636749042758,1,1,1,0,0,0,1
51,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.6491218911922,1,0,0,0,0,1,0
51,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.4820678065247,1,0,0,0,0,1,0
51,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.7232298633476,1,0,0,0,0,1,0
51,0,1,0,0,0,0,1,0,0,0,1,0,0,0,7.90100705199242,-4.60517018598809,10.8567612559748,1,0,0,0,0,1,0
51,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.6744396991848,1,0,0,0,0,1,0
77,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-4.60517018598809,10.6213273456864,9.84776112600689,1,1,1,0,0,0,1
77,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-4.60517018598809,10.4341158035983,9.84776112600689,1,1,1,0,0,0,1
77,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-4.60517018598809,10.5186731916264,9.99618113111423,1,1,1,0,0,0,1
77,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-4.60517018598809,9.21034037197618,10.053613180184,1,1,1,0,0,0,1
77,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-4.60517018598809,10.5966347330961,10.3934021694446,1,1,1,0,0,0,1
57,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.9745442916334,1,0,0,0,1,0,0
57,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.9928934303075,1,0,0,0,1,0,0
57,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.9928934303075,1,0,0,0,1,0,0
57,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.9928934303075,1,0,0,0,1,0,0
57,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.9928934303075,1,0,0,0,1,0,0
30,0,1,0,1,1,0,0,0,0,0,1,0,0,0,6.62007320653036,8.79482492801452,11.6395205951997,0,0,0,0,0,0,1
30,0,1,0,1,1,0,0,0,0,0,1,0,0,0,6.5510803350434,8.79482492801452,11.6676914721591,0,0,0,0,0,0,1
30,0,1,0,1,1,0,0,0,0,0,1,0,0,0,6.50727771238501,8.73230457103318,11.6950904463402,0,0,0,0,0,0,1
30,0,1,0,1,1,0,0,0,0,0,1,0,0,0,6.64639051484773,8.7160440501614,11.5907304310126,0,0,0,0,0,0,1
30,0,1,0,1,1,0,0,0,0,0,1,0,0,0,6.64639051484773,8.76405326934776,11.6950904463402,0,0,0,0,0,0,1
56,1,1,0,1,0,0,0,1,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.9173858777924,0,0,0,0,1,0,0
56,1,1,0,1,0,0,0,1,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.8567612559748,0,0,0,0,1,0,0
56,1,1,0,1,0,0,0,1,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.7467603607655,0,0,0,0,0,1,0
56,1,1,0,1,0,0,0,1,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.8975832504897,0,0,0,0,1,0,0
56,1,1,0,1,0,0,0,1,0,0,0,0,1,0,-4.60517018598809,-4.60517018598809,10.4195474495515,0,0,0,0,1,0,0
70,1,0,0,1,0,0,0,0,1,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.0300826828097,0,0,0,1,0,0,0
70,1,0,0,1,0,0,0,0,1,0,0,1,0,0,-4.60517018598809,-4.60517018598809,9.98129251862481,0,0,0,1,0,0,0
70,1,0,0,1,0,0,0,0,1,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.0300826828097,0,0,0,1,0,0,0
70,1,0,0,1,0,0,0,0,1,0,0,1,0,0,-4.60517018598809,-4.60517018598809,10.0300826828097,0,0,0,1,0,0,0
70,1,0,0,1,0,0,0,0,1,0,0,1,0,0,-4.60517018598809,-4.60517018598809,9.98129251862481,0,0,0,1,0,0,0
57,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-4.60517018598809,12.6760762747759,11.3030483586102,1,0,0,0,1,0,0
57,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-4.60517018598809,12.6760762747759,11.3030483586102,1,0,0,0,1,0,0
57,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-4.60517018598809,12.6760762747759,11.3030483586102,1,0,0,0,1,0,0
57,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-4.60517018598809,12.6760762747759,11.3030483586102,1,0,0,0,1,0,0
57,1,0,0,1,0,0,0,1,0,0,1,0,0,0,-4.60517018598809,12.6760762747759,11.3030483586102,1,0,0,0,1,0,0
32,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.8142016415619,1,0,0,0,0,0,1
32,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.8142016415619,1,0,0,0,0,0,1
32,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.8142016415619,1,0,0,0,0,0,1
32,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.8142016415619,1,0,0,0,0,0,1
32,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-4.60517018598809,-4.60517018598809,10.8142016415619,1,0,0,0,0,0,1
46,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,11.3675868797447,0,1,0,0,0,0,1
46,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,11.3675868797447,0,1,0,0,0,0,1
46,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,11.3675868797447,0,1,0,0,0,0,1
46,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,11.3675868797447,0,1,0,0,0,0,1
46,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-4.60517018598809,-4.60517018598809,11.3675868797447,0,1,0,0,0,0,1
75,1,1,1,1,0,0,0,0,0,1,0,0,0,1,-4.60517018598809,14.0466222789277,14.4506429814741,0,0,0,0,0,0,1
75,1,1,1,1,0,0,0,0,0,1,0,0,0,1,-4.60517018598809,14.2209756660724,14.4727339392766,0,0,0,0,0,0,1
75,1,1,1,1,0,0,0,0,0,1,0,0,0,1,-4.60517018598809,14.2665861773245,14.4586293330904,0,0,0,0,0,0,1
